"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05205","hsa05205","Proteoglycans in cancer",0.0333428327158735,"204/8847",1.84105773587033e-07,5.52312578041455,2.03023910722543e-06,"2885/3059/3236/60495/3339/3480/3481/3673/3685/3690/3708/3709/3710/3791/3845/4060/5604/4233/4318/4478/2475/4609/79923/5290/5291/5295/8503/51196/5335/4659/5566/5578/5579/5582/5727/5747/5829/5894/6093/6382/4087/6608/6654/6774/7042/7074/7099/7157/7409/7410/10451/7448/7471/80326/7481/51384/89780/7476/7478/7479/7483/7484/208/286/287/288/9138/23365/673/816/836/859/867/960/1278/1499/2017/1634/1956/2064/2066/7430/356/2549/817/2316/3688/4313/5293/4660/60/71/10818/5336/387/6655/7480/81029/3082/5567/3265/3479/8826/5499/5781/9475/6383/6548/7473/815/818/2065/2260/2719/2335/5962/369",117
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action",0.0216585921915076,"122/8847",3.12153351719895e-07,5.3244878541404,3.20763626827941e-06,"2770/2778/2885/2932/3708/3709/3710/3845/5604/5606/6416/5608/4214/5602/112609/2475/5290/5291/5295/8503/23236/5332/5335/5566/5578/5579/5582/5747/5894/6464/53358/399694/6654/6774/108/109/196883/111/113/114/115/208/775/776/778/64764/9586/1387/1443/1444/2690/2692/2693/1388/5293/55811/112/3717/5330/5336/6655/6752/6755/6777/107/5567/3265/3479/3486/3667/5599/9564/779/84699/1442/2033",76
"hsa04611","hsa04611","Platelet activation",0.0222285551439156,"126/8847",3.18576602099569e-07,5.3244878541404,3.20763626827941e-06,"10672/2770/2778/2977/3673/3674/3690/3708/3709/3710/4638/340156/5023/5290/5291/5294/5295/8503/23533/5321/23236/5332/4659/5566/5590/5592/5739/10235/6093/6786/108/109/196883/111/113/114/115/208/54518/2909/9138/23365/695/1278/1281/2147/2149/2212/83706/2243/2266/3688/4846/5293/83660/60/71/112/2244/146850/5330/5336/5742/387/6916/107/5567/3937/5028/8605/5499/5584/9475/11093/2534/4067/85366/7094",78
"hsa04713","hsa04713","Circadian entrainment",0.0179538330008549,"97/8847",3.74366238111267e-07,5.27288846028791,3.61230580633679e-06,"2770/2775/2778/2791/51764/54331/2792/2890/2891/2892/2893/2902/2903/2904/2977/3708/3710/3760/3762/3763/4543/4544/4842/9722/23236/5332/5566/5578/5579/5582/5592/9252/6261/6262/6263/108/109/196883/111/113/114/115/117/775/776/8913/8912/8911/801/816/817/55811/112/116/2784/5330/107/2786/8863/5567/815/818/59345",63
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.036477628954118,"230/8847",5.01368144994014e-07,5.16375716552024,4.64425229047087e-06,"10672/3645/10788/3672/3673/3674/3676/3655/3679/3680/3681/3682/3684/3685/3687/3690/3696/3827/3845/5604/4478/4629/93408/4638/340156/5063/10298/80310/5156/5290/5291/5295/8503/200576/4659/5747/5829/5894/6093/6654/54434/85464/7074/7409/7410/10451/7414/8936/8976/87/81/10097/208/324/2909/9138/23365/50649/9459/8874/673/729/730/735/6387/1730/1956/55740/7430/2147/2149/2245/2255/8817/8074/2264/23191/2934/3675/3688/5293/4660/60/71/1129/81624/2252/8516/3694/1902/4627/5159/8395/387/85477/6655/2846/3265/8826/3985/9170/56034/8394/5499/9475/6548/10297/10458/9564/623/624/1072/7852/89846/2250/2251/2260/2263/1729/2335/5305/5962/369/731/3689/79784/85366/221178",128
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.0538614990025648,"362/8847",5.49770145890376e-07,5.14076608921388,4.89673814153371e-06,"2791/51764/54331/2792/2885/2932/3320/3381/3451/3480/3481/3551/3558/3561/3566/3570/3575/3643/3672/3673/3674/3676/3655/3679/3680/3685/3690/3696/3791/4254/3845/284217/3908/3909/3910/3911/3914/3915/3918/23566/9223/9863/5604/4233/2475/4609/4790/4804/3164/4908/4914/4915/9180/80310/5156/118788/5290/5291/5294/5295/8503/23533/5518/5520/5521/5522/28227/5528/5562/5563/5578/5618/5747/5894/5649/5979/6446/6654/6794/8115/9623/7010/7060/7099/63923/7143/7148/7157/7424/7448/10971/208/284/51378/596/10018/672/1027/1278/1282/1284/1285/1287/1288/1293/256076/131873/64764/9586/1443/1444/1956/1969/2064/2066/2149/356/2255/8817/8074/2264/2324/2309/57818/2668/2690/1388/1292/1297/1441/3559/3675/3688/22798/4846/5293/3371/100533105/1129/1436/2069/2252/2322/2784/8516/3694/3716/3717/3912/1902/5159/23035/146850/5526/6655/2321/2786/3082/3455/3718/2846/4602/2998/3265/7184/3479/3560/3667/3815/9170/56034/23239/29941/5523/5728/1286/84699/1442/1946/2065/2250/2251/2260/2263/2335/896/59345/5586/10110",189
"hsa04925","hsa04925","Aldosterone synthesis and secretion",0.0179538330008549,"98/8847",6.44956954037046e-07,5.08780692834825,5.53179453754971e-06,"2778/3283/3284/3708/3709/3710/3762/3777/51305/3164/5138/23236/5332/5566/5578/5579/5582/5587/108/109/196883/111/113/114/115/476/480/491/492/775/776/778/8913/8912/8911/801/57118/816/814/64764/9586/1583/1585/1388/490/493/817/23683/112/4929/5330/107/477/5567/5443/5581/779/57172/815/818/84699/747/185",63
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.024508406953548,"144/8847",7.58890954949756e-07,5.03295254868685,6.27654173266715e-06,"2885/2932/9421/3198/3211/3480/3624/3625/3670/3720/7994/3845/7044/5604/4211/4609/4617/79923/5290/5291/5295/8503/5894/5978/55183/6498/4087/4088/4089/6774/7471/80326/7481/51384/89780/7476/7478/7479/7483/7484/463/7547/91/130399/208/324/652/1499/1749/1857/2103/2264/5293/6932/90/92/657/658/1856/3716/3717/9314/3977/5013/5080/4086/7480/81029/3718/3265/3479/3626/4838/3175/6929/7473/93/10297/8312/8313/659/80712/2260/2263/10336/6926",86
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",0.0544314619549729,"368/8847",8.14361639680429e-07,5.017554583711,6.50306935497983e-06,"165829/2859/9248/10888/2890/2891/2892/2893/2894/2895/2897/2898/2899/2900/2901/2902/2903/2904/116443/2911/2912/2913/2914/2915/2916/2917/2918/2925/3062/3274/11255/3356/3358/3360/3361/3362/3363/10022/3827/3952/3953/3973/23566/66004/130576/84539/4543/4544/4829/10316/56923/10886/387129/2908/4923/4986/4987/4988/5021/5023/5026/344838/5173/5179/5340/5618/5644/5729/5732/5733/5734/5737/5739/5741/84109/59350/6344/9287/6863/6869/6870/7201/7253/117/134/135/148/147/146/552/553/554/728/797/886/887/1134/1135/1136/1137/8973/1139/55584/1141/1142/1143/1144/1443/1444/1813/1814/1908/1910/2147/2149/2151/2488/2492/2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2565/2566/2567/55879/2569/2570/2587/2690/2692/2693/2740/2742/1394/4159/6865/116/799/10203/1129/2550/2568/2743/1902/4886/5745/5746/6752/6755/7068/257313/8001/2846/59340/3354/9170/2832/64106/594857/4985/5028/5443/122042/10911/7432/623/624/718/885/89832/1140/1395/1442/2150/2359/9568/2564/9340/2741/796/1081/2641/5025/185",191
"hsa04911","hsa04911","Insulin secretion",0.0159589626674266,"86/8847",1.4636794386291e-06,4.77764917663958,1.12985781227509e-05,"2778/3710/3778/3779/3780/3781/3782/3783/157855/27445/23236/5332/5566/5578/5579/5582/11069/9699/6262/54795/108/109/196883/111/113/114/115/117/476/480/775/776/778/816/886/64764/9586/2645/2740/1388/817/112/116/10242/5330/107/477/5567/6514/779/815/818/885/84699/2641/6616",56
