"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05165","hsa05165","Human papillomavirus infection",0.0486233157586409,"333/8843",1.40513543212473e-05,3.64302219253254,0.000156360935304106,"324/533/9114/155066/525/245973/8312/8313/572/841/1026/1101/1278/1282/1284/1285/1287/1288/1291/1292/1293/256076/131873/10488/9586/1387/1499/1739/1740/1741/1855/1857/1956/2033/355/356/2308/8321/2535/7976/8322/8323/2778/2885/3065/23493/3106/3107/3134/3451/3454/3551/9641/3659/22801/3673/3655/3679/3680/3685/3690/3691/3696/182/3716/3845/284217/3908/3909/3910/3911/3914/3915/3918/9223/9794/84441/5594/5595/2475/4790/4799/4851/4853/4855/56288/84612/5290/5295/8503/5515/5518/5520/5522/5523/28227/5525/5528/5529/5567/5584/5728/5734/5747/5829/5925/3516/5649/6198/23513/6696/10474/387332/6932/83439/6934/7015/7057/7060/148022/3371/7132/63923/7148/7157/7187/7337/23352/7448/7450/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/472/5610/3678/3688/5604/5293/10312/523/1108/1299/1950/3066/3105/5159/5291/5296/5526/5894/6654/7143/7297/526/1297/3675/8638/5521",166
"hsa05032","hsa05032","Morphine addiction",0.0161101347393087,"91/8843",1.86745727590564e-05,3.55959866916803,0.000189474942067661,"108/109/111/114/115/134/408/773/774/2550/2554/2555/2556/2557/2558/2559/2560/2562/2563/2565/2566/55879/2570/2771/2778/55970/2788/2792/3760/3763/4988/10846/5136/5137/5138/5139/5140/5142/5150/27115/5151/8622/5567/5578/5579/5582/140679/112/113/2773/2783/50940/5143/2564/2569",55
"hsa04727","hsa04727","GABAergic synapse",0.015817223198594,"89/8843",1.89641700875607e-05,3.55959866916803,0.000189474942067661,"18/108/109/111/114/115/773/774/775/776/2550/2554/2555/2556/2557/2558/2559/2560/2562/2563/2565/2566/55879/2570/2571/2572/27165/2771/55970/2788/2792/10243/3763/5334/5567/5578/5579/5582/57468/140679/6538/6540/66008/112/2744/113/2752/2773/2783/81539/6529/11337/2564/2569",54
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.0521382542472173,"362/8843",1.94595886447868e-05,3.55959866916803,0.000189474942067661,"284/285/572/596/627/672/1026/1101/1128/1278/1282/1284/1285/1287/1288/1291/1292/1293/256076/131873/10488/9586/1436/1442/1444/1945/1946/1956/253314/1969/2057/2064/2065/2066/2149/356/2255/2247/27006/2251/2252/2254/2260/2263/2324/2309/2668/2690/55970/2788/2792/2885/3320/3451/3454/3480/3551/3559/3561/3563/3570/3575/3643/22801/3673/3655/3679/3680/3685/3690/3691/3696/3716/3845/284217/3908/3909/3910/3911/3914/3915/3918/1902/9170/9223/9863/5594/5595/2475/4790/3164/4908/4914/4915/5106/56034/80310/5156/23239/23035/5290/5294/5295/8503/23533/5586/29941/5515/5518/5520/5522/5523/28227/5525/5528/5529/5562/5563/5578/5728/5747/5649/5979/6194/6198/57521/6256/6696/7010/7057/7060/7099/3371/63923/7148/7157/7424/7448/7450/7531/7534/1388/11140/2264/2321/3678/3688/5604/4846/9180/5293/5585/23678/100533105/1299/1950/8822/2322/2783/3566/3717/3718/4602/5159/5291/5296/5526/5618/5894/6446/6654/6850/7143/1297/3326/3675/5521/2846",178
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0351493848857645,"232/8843",2.70913069718806e-05,3.4496264473731,0.000244075397203792,"72/88/375790/270/271/287/288/476/477/480/825/1301/1278/255631/85301/1282/1284/1285/1287/1288/1289/1290/1291/1292/1293/256076/131873/23002/23500/1605/1634/1756/1829/1832/2199/2200/2201/56776/752/114793/91010/3339/64423/22801/3673/3655/3679/3680/3685/3690/3691/3696/3728/284217/3908/3930/4000/84823/25802/442721/56203/4606/4619/4628/4629/4620/4624/4626/4627/9499/4703/10529/22795/4892/84033/8572/10611/5318/5339/6382/6383/6442/137868/6711/6712/57731/23353/23345/161176/171024/7057/7060/7169/7273/1462/7414/7431/129446/1837/2026/3678/3688/127294/23224/83660/7168/60/272/1299/81624/2192/2273/8735/4621/64236/6385/7094/832/1297/3675",120
"hsa04015","hsa04015","Rap1 signaling pathway",0.0325131810193322,"212/8843",2.71561365357372e-05,3.4496264473731,0.000244075397203792,"108/109/111/114/115/284/285/54518/9564/673/805/999/1436/1499/1500/9732/1813/1945/1946/1956/55740/1969/51466/2149/2255/2247/27006/2251/2252/2254/2260/2263/2324/2771/2778/2902/2903/2904/3480/3643/3684/3690/3845/889/1902/9170/9223/9863/260425/5594/5595/56288/84612/56034/80310/5156/5217/5290/5295/8503/23236/5330/5332/51196/5335/5578/5579/5582/5584/5587/5899/5900/5909/2889/9693/11069/9771/25780/83593/387/26037/57568/23094/8631/7010/7057/7074/7409/7410/7424/112/2264/2321/3688/5604/5293/83660/60/113/1950/8822/2773/3683/3689/5159/5291/5296/5894/7094/10235/2846",111
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.0143526654950205,"80/8843",3.20755642682705e-05,3.3937105419625,0.000277613070859885,"558/572/596/673/1956/253314/2064/2065/2247/2263/2309/2621/2885/3480/3570/3716/3845/5594/5595/2475/4763/3084/9542/56034/80310/5156/5290/5295/8503/5335/5336/5578/5579/5582/5728/6194/6198/53358/399694/6774/5604/5293/1950/3717/5159/5291/5296/5894/6654",49
"hsa04350","hsa04350","TGF-beta signaling pathway",0.0181605155243117,"108/8843",5.29112504331293e-05,3.19213108911659,0.000441590135193786,"91/130399/92/93/25805/650/653/654/655/656/657/659/1387/8454/1634/2033/2200/2331/8200/392255/151449/3065/3077/3547/3624/3625/2615/4052/5594/5595/9611/4756/375387/5308/5515/5518/387/6093/6198/6497/6498/4088/4089/4092/57154/6667/7027/7042/7046/7048/60436/7057/79875/9765/9372/652/658/3066/25942/4087/4093/7050",62
"hsa04148","hsa04148","Efferocytosis",0.0246045694200351,"156/8843",7.04289014282586e-05,3.0831681666709,0.000567521456155115,"240/63982/121601/196527/405/23250/286410/487/488/51761/558/9564/682/834/840/1374/126129/6376/1788/80824/1847/9844/2057/2621/29933/26762/84868/3091/3685/3690/3988/4035/5594/5595/9261/84466/84465/4773/7376/5087/23659/5467/5627/5732/5734/5747/5781/51552/5868/5869/6256/8578/89790/140885/55423/6513/56848/23166/7057/64601/57617/27072/114786/286046/343702/55113/23200/948/5604/10461/4776/10326/19/338440/3717/4772/10062/5468/5878/6446/6566/389668/6868/8754",84
"hsa05215","hsa05215","Prostate cancer",0.0164030462800234,"98/8843",0.000142281084324426,2.80958923723655,0.0010655190406315,"367/572/596/673/1026/10488/9586/1387/1499/1870/1871/1956/2033/2064/2078/2119/2260/2263/2308/2885/3320/3480/3551/7850/3845/51176/5594/5595/4314/4318/2475/4790/56034/80310/5156/5290/5295/8503/5327/5728/5925/6932/83439/6934/7157/6935/5604/5293/1950/5159/5291/5296/5894/6654/3326/4792",56
"hsa04929","hsa04929","GnRH secretion",0.0117164616285882,"65/8843",0.000145001079639146,2.80958923723655,0.0010655190406315,"408/775/776/8912/8911/2100/2550/348980/610/3708/3709/3710/3760/3763/3781/3782/3845/5594/5595/5290/5295/8503/23236/5330/5332/5578/5579/5582/6696/7220/7223/7224/8913/5604/5293/3780/3783/5291/5296/5894",40
"hsa05217","hsa05217","Basal cell carcinoma",0.0114235500878735,"63/8843",0.000145908913672062,2.80958923723655,0.0010655190406315,"324/8312/8313/650/1026/1499/1855/1857/8321/2535/7976/8322/8323/2736/2737/64399/374654/51176/5727/8643/6608/51684/6932/83439/6934/7157/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/652/2735/51426",39
"hsa05226","hsa05226","Gastric cancer",0.0234329232571763,"150/8843",0.00015829479374584,2.78897390594766,0.00111731735903963,"5243/324/8312/8313/596/673/999/1026/1495/1496/29119/1499/1855/1857/1870/1871/1956/2064/2255/2247/27006/2251/2252/2254/2263/8321/2535/7976/8322/8323/2885/3728/3845/51176/4041/4040/5594/5595/2475/4583/5290/5295/8503/5915/5925/6198/6256/53358/399694/4088/4089/6932/83439/6934/7015/7042/7046/7048/7157/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/5604/5293/1015/1950/8822/5291/5296/51426/5894/4087/6654",80
"hsa05225","hsa05225","Hepatocellular carcinoma",0.0260691271236087,"170/8843",0.000165767587391192,2.78897390594766,0.00111731735903963,"324/8289/57492/196528/8312/8313/572/673/1026/1029/1499/8110/1855/1857/1870/1871/1956/8321/2535/7976/8322/8323/2885/2948/2949/119391/3480/9817/3845/51176/4041/4040/5594/5595/4259/2475/4780/55193/55274/5290/5295/8503/5335/5336/5578/5579/5582/5728/5925/6198/53358/399694/4088/4089/6597/6598/6603/6604/6932/83439/6934/7015/7042/7046/7048/7157/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/5604/5293/6595/7296/60/8193/5291/5296/51426/5894/4087/6654/10587",89
